链接,标题,日期
http://chuansong.me/n/2390461751011,【应用】信用评分卡专题,2018-06-09
http://chuansong.me/n/2390461851053,【资料】Applying\\xa0Data\\xa0Mining\\xa0Techniques\\xa0to\\xa0Credit\\xa0Scoring,2018-06-09
http://chuansong.me/n/2390461951030,【应用】信用评分：第9部分\\xa0-\\xa0计分卡实施：部署，生产和监测,2018-06-08
http://chuansong.me/n/2390462051033,【应用】信用评分：第10部分\\xa0-\\xa0更大的图景\\xa0-\\xa0企业决策管理系统,2018-06-08
http://chuansong.me/n/2390462151053,【资料】Applying\\xa0Data\\xa0Mining\\xa0Techniques\\xa0to\\xa0Credit\\xa0Scoring,2018-06-08
http://chuansong.me/n/2390462251029,【应用】\\xa0信用评分：第7部分\\xa0-\\xa0信用风险模型的进一步考虑,2018-06-07
http://chuansong.me/n/2390462351022,【应用】信用评分：第8部分\\xa0-\\xa0信用风险策略,2018-06-07
http://chuansong.me/n/2390462451021,【应用】\\xa0信用评分：第4部分\\xa0-\\xa0变量选择,2018-06-06
http://chuansong.me/n/2390462551021,【应用】信用评分：第5部分\\xa0-\\xa0评分卡开发,2018-06-06
http://chuansong.me/n/2390462651023,【应用】信用评分：第6部分\\xa0-\\xa0分割和拒绝推断,2018-06-06
http://chuansong.me/n/2390462751053,【资料】Applying\\xa0Data\\xa0Mining\\xa0Techniques\\xa0to\\xa0Credit\\xa0Scoring,2018-06-06
http://chuansong.me/n/2384589351328,【应用】信用评分：第3部分\\xa0-\\xa0数据准备和探索性数据分析,2018-06-05
http://chuansong.me/n/2384589451353,【资料】Applying\\xa0Data\\xa0Mining\\xa0Techniques\\xa0to\\xa0Credit\\xa0Scoring,2018-06-05
http://chuansong.me/n/2381013251725,【应用】信用评分：第2部分\\xa0-\\xa0信用评分卡建模方法,2018-06-04
http://chuansong.me/n/2381013351753,【资料】Applying\\xa0Data\\xa0Mining\\xa0Techniques\\xa0to\\xa0Credit\\xa0Scoring,2018-06-04
http://chuansong.me/n/2381013451817,【应用】信用评分：端到端的开发过程,2018-06-03
http://chuansong.me/n/2381013551853,【资料】Applying\\xa0Data\\xa0Mining\\xa0Techniques\\xa0to\\xa0Credit\\xa0Scoring,2018-06-03
http://chuansong.me/n/2381013651617,【智能】机器学习强化Fintech,2018-06-01
http://chuansong.me/n/2381013751648,【资料】Introduction\\xa0to\\xa0Machine\\xa0Learning\\xa0with\\xa0Python,2018-06-01
http://chuansong.me/n/2381013851709,【数据】银行大数据,2018-05-31
