链接,标题,日期
http://chuansong.me/n/2347591547028,Python+人工智能的超强组合，再不学就跟不上时代啦！,2018-05-16
http://chuansong.me/n/2347591647023,最低月薪过万，市场缺口5万人，今天免费带你入门,2018-05-15
http://chuansong.me/n/2347591747015,赠送Matlab经典书籍+源码,2018-05-14
http://chuansong.me/n/2347591847222,python训练模型调参神器hyperopt,2018-05-13
http://chuansong.me/n/2347591947024,腾讯2018广告算法大赛思路解析(python),2018-05-12
http://chuansong.me/n/2347592047032,等你Battle！——11万个真实场景配置，用AI为车主答疑解惑,2018-05-11
http://chuansong.me/n/2347592147013,用CNN做在NLP句子分类,2018-05-10
http://chuansong.me/n/2336232547019,量化投资重磅上线，横扫金融界就靠你啦！,2018-05-09
http://chuansong.me/n/2336232647023,LSTM结合CNN模型的Twitter情感分析,2018-05-08
http://chuansong.me/n/2336232747025,应届生都年薪30w了，做AI工程师到底有哪些要求？,2018-05-07
http://chuansong.me/n/2336232847019,CNN识别患者CT图像预测患癌的可能性,2018-05-05
http://chuansong.me/n/2336232947023,成为一名机器学习算法工程师，你需要这些必备技能,2018-05-04
http://chuansong.me/n/2321018047818,深度学习机器学习面试问题准备,2018-04-27
http://chuansong.me/n/2314607847015,数据分析很难学，60天就够了！,2018-04-25
http://chuansong.me/n/2306875647023,吴恩达深度学习工程司课程汇总（附中文视频笔记）,2018-04-20
http://chuansong.me/n/2306875747025,CNN图像风格迁移的原理及TensorFlow实现,2018-04-19
http://chuansong.me/n/2306875847816,深度学习DenseNet算法详解,2018-04-17
http://chuansong.me/n/2299487147031,快手x清华即日启动大数据挑战赛，60万大奖悬赏你的最佳解决方案,2018-04-16
http://chuansong.me/n/2294322547024,如何上手深度学习中的图像领域？有这个资源库就够了,2018-04-14
http://chuansong.me/n/2291780447024,卷积神经网络(CNN)融合PMF模型构建推荐系统,2018-04-13
http://chuansong.me/n/2291780547013,想转行人工智能？机会来了！,2018-04-12
http://chuansong.me/n/2286270447034,比xgboost强大的LightGBM：调参指南(带贝叶斯优化代码),2018-04-10
http://chuansong.me/n/2284331747024,听说你好不容易写了个爬虫，结果没抓几个就被封了？,2018-04-09
http://chuansong.me/n/2282563847019,【OCR技术】大批量构造中文文字训练集,2018-04-08
http://chuansong.me/n/2280429647043,深度学习的目标检测技术演进：R-CNN、Fast\\xa0R-CNN、Faster\\xa0R-CNN,2018-04-06
