链接,标题,日期
http://chuansong.me/n/2403868236515,数据科学实践中常犯的十二种错误,2018-06-15
http://chuansong.me/n/2403868336517,资料\\xa0：20大数据可视化工具及资料,2018-06-15
http://chuansong.me/n/2403868436631,阿里巴巴创研究计划AIR2018正式发布\\xa0\\xa0邀全球学者共创未来,2018-06-14
http://chuansong.me/n/2403868536627,TOP20\\xa0|\\xa0Python人工智能与机器学习开源项目,2018-06-14
http://chuansong.me/n/2403868636537,手把手教你用Prophet快速进行时间序列预测（附Prophet和R代码）,2018-06-13
http://chuansong.me/n/2403868736521,强烈推荐\\xa0:\\xa0两天特训，成为数据分析专家！,2018-06-13
http://chuansong.me/n/2403868836033,未来公务员都会是数据分析高手了，你还要当个只会Excel的小白吗？,2018-06-11
http://chuansong.me/n/2403868936032,超级干货\\xa0：2018数据科学以及机器学习领域顶级工具的排名与趋势,2018-06-11
http://chuansong.me/n/2403869036424,数据洪流来袭，企业转型势不可挡，如何四两拨千斤？,2018-06-08
http://chuansong.me/n/2403869136425,手把手教你从零到一搭建深度学习项目（附PDF下载）,2018-06-08
http://chuansong.me/n/2403869236731,拍拍贷第三届“魔镜杯”启动\\xa0：10万美金邀你“秀出你的算法！”,2018-06-07
http://chuansong.me/n/2403869336723,用Python进行机器学习（附代码、学习资源）,2018-06-07
http://chuansong.me/n/2403869436020,品友全面升级集团战略\\xa0\\xa0AI赋能商业决策,2018-06-06
http://chuansong.me/n/2403869536010,数据科学部门如何建立,2018-06-06
http://chuansong.me/n/2403869636129,人工智能预测\\xa0|\\xa0不会脱离舒适圈的人，往往都会被同龄人抛弃,2018-06-05
http://chuansong.me/n/2403869736128,手把手教你在多种无监督聚类算法实现Python（附代码）,2018-06-05
http://chuansong.me/n/2382811936826,手把手教你用Python库Keras做预测（附代码）,2018-06-01
http://chuansong.me/n/2382812036810,数据可视化的七大趋势,2018-06-01
http://chuansong.me/n/2374472536422,人才缺口达百万：全解大数据、AI领域就业现状,2018-05-30
http://chuansong.me/n/2374472636413,一台就能搞定存储和数据灾备,2018-05-30
http://chuansong.me/n/2370216236124,推荐\\xa0：“数据分析与解读培训”［北京站］开启报名,2018-05-28
http://chuansong.me/n/2370216336122,深度学习中的正则化技术(附Python代码),2018-05-28
http://chuansong.me/n/2370216436521,Excel高级应用教程：数据处理与数据分析,2018-05-25
http://chuansong.me/n/2370216536520,资料\\xa0：20篇顶级深度学习论文（附链接）,2018-05-25
http://chuansong.me/n/2370216636044,7个实战案例、24个学习视频、12G干货资料...带你免费入门《Python数据分析》！,2018-05-23
http://chuansong.me/n/2370216736018,技巧\\xa0：Excel用得好，天天没烦恼,2018-05-23
http://chuansong.me/n/2370216936319,资深数据科学家教你如何从数据中获得洞见,2018-05-22
http://chuansong.me/n/2370217036514,精细化运营不得不说的那些事儿,2018-05-21
http://chuansong.me/n/2370217136518,关于用户画像那些事，看这一文章就够了,2018-05-21
http://chuansong.me/n/2353940936128,手把手教你在Python中实现文本分类（附代码、数据集）,2018-05-18
http://chuansong.me/n/2351501336715,干货\\xa0：基于用户画像的聚类分析,2018-05-17
http://chuansong.me/n/2351501436715,新书推荐\\xa0：大数据点亮城市未来,2018-05-17
http://chuansong.me/n/2349202436220,手把手教你从零搭建深度学习项目（附链接）,2018-05-15
http://chuansong.me/n/2349202536221,5\\xa0月编程语言指数榜：Python夺下冠军,2018-05-15
http://chuansong.me/n/2349202636126,教你如何用python正经地八卦：运动员肉体观赏指南,2018-05-14
http://chuansong.me/n/2349202736120,人工智能摧毁的不是工作岗位，而是商业模式,2018-05-14
http://chuansong.me/n/2349202836723,未来数据科学家必备的【核心算法】与【常用模型】,2018-05-10
