year,month,day,hour,season,PM_China,PM_US
2013,1,1,0,4,NA,31
2013,1,1,1,4,NA,32
2013,1,1,2,4,NA,21
2013,1,1,3,4,NA,16
2013,1,1,4,4,NA,15
2013,1,1,5,4,NA,9
2013,1,1,6,4,NA,9
2013,1,1,7,4,NA,7
2013,1,1,8,4,NA,14
2013,1,1,9,4,NA,11
2013,1,1,10,4,NA,9
2013,1,1,11,4,NA,10
2013,1,1,12,4,NA,16
2013,1,1,13,4,NA,17
2013,1,1,14,4,NA,15
2013,1,1,15,4,NA,13
2013,1,1,16,4,NA,16
2013,1,1,17,4,NA,15
2013,1,1,18,4,NA,20
2013,1,1,19,4,NA,17
2013,1,1,20,4,NA,16
2013,1,1,21,4,NA,19
2013,1,1,22,4,NA,13
2013,1,1,23,4,NA,19
2013,1,2,0,4,NA,15
2013,1,2,1,4,NA,19
2013,1,2,2,4,NA,16
2013,1,2,3,4,NA,17
2013,1,2,4,4,NA,17
2013,1,2,5,4,NA,17
2013,1,2,6,4,NA,15
2013,1,2,7,4,NA,13
2013,1,2,8,4,NA,15
2013,1,2,9,4,NA,15
2013,1,2,10,4,NA,16
2013,1,2,11,4,NA,13
2013,1,2,12,4,NA,19
2013,1,2,13,4,NA,20
2013,1,2,14,4,NA,19
2013,1,2,15,4,NA,19
2013,1,2,16,4,NA,25
2013,1,2,17,4,NA,22
2013,1,2,18,4,NA,25
2013,1,2,19,4,NA,20
2013,1,2,20,4,NA,19
2013,1,2,21,4,NA,21
2013,1,2,22,4,NA,27
2013,1,2,23,4,NA,23
2013,1,3,0,4,NA,21
2013,1,3,1,4,NA,20
2013,1,3,2,4,NA,18
2013,1,3,3,4,NA,20
2013,1,3,4,4,NA,20
2013,1,3,5,4,NA,13
2013,1,3,6,4,NA,13
2013,1,3,7,4,NA,17
2013,1,3,8,4,NA,22
2013,1,3,9,4,NA,29
2013,1,3,10,4,NA,26
2013,1,3,11,4,NA,26
2013,1,3,12,4,NA,18
2013,1,3,13,4,NA,20
2013,1,3,14,4,NA,26
2013,1,3,15,4,NA,24
2013,1,3,16,4,NA,18
2013,1,3,17,4,NA,25
2013,1,3,18,4,NA,34
2013,1,3,19,4,NA,37
2013,1,3,20,4,NA,36
2013,1,3,21,4,NA,42
2013,1,3,22,4,NA,40
2013,1,3,23,4,NA,37
2013,1,4,0,4,NA,33
2013,1,4,1,4,NA,35
2013,1,4,2,4,NA,58
2013,1,4,3,4,NA,56
2013,1,4,4,4,NA,62
2013,1,4,5,4,NA,37
2013,1,4,6,4,NA,37
2013,1,4,7,4,NA,41
2013,1,4,8,4,NA,41
2013,1,4,9,4,NA,39
2013,1,4,10,4,NA,48
2013,1,4,11,4,NA,59
2013,1,4,12,4,NA,63
2013,1,4,13,4,NA,74
2013,1,4,14,4,NA,69
2013,1,4,15,4,NA,79
2013,1,4,16,4,NA,89
2013,1,4,17,4,NA,94
2013,1,4,18,4,NA,113
2013,1,4,19,4,NA,132
2013,1,4,20,4,NA,186
2013,1,4,21,4,NA,205
2013,1,4,22,4,NA,204
2013,1,4,23,4,NA,198
2013,1,5,0,4,NA,176
2013,1,5,1,4,NA,111
2013,1,5,2,4,NA,140
2013,1,5,3,4,NA,78
2013,1,5,4,4,NA,30
2013,1,5,5,4,NA,31
2013,1,5,6,4,NA,34
2013,1,5,7,4,NA,29
2013,1,5,8,4,NA,40
2013,1,5,9,4,NA,43
2013,1,5,10,4,NA,43
2013,1,5,11,4,NA,39
2013,1,5,12,4,NA,38
2013,1,5,13,4,NA,37
2013,1,5,14,4,NA,37
2013,1,5,15,4,NA,36
2013,1,5,16,4,NA,41
2013,1,5,17,4,NA,49
2013,1,5,18,4,NA,69
2013,1,5,19,4,NA,86
2013,1,5,20,4,NA,73
2013,1,5,21,4,NA,64
2013,1,5,22,4,NA,72
2013,1,5,23,4,NA,72
2013,1,6,0,4,NA,49
2013,1,6,1,4,NA,48
2013,1,6,2,4,NA,34
2013,1,6,3,4,NA,40
2013,1,6,4,4,NA,39
2013,1,6,5,4,NA,30
2013,1,6,6,4,NA,32
2013,1,6,7,4,NA,41
2013,1,6,8,4,NA,45
2013,1,6,9,4,NA,61
2013,1,6,10,4,NA,50
2013,1,6,11,4,NA,65
2013,1,6,12,4,NA,70
2013,1,6,13,4,NA,78
2013,1,6,14,4,NA,108
2013,1,6,15,4,NA,142
2013,1,6,16,4,NA,193
2013,1,6,17,4,NA,204
2013,1,6,18,4,NA,266
2013,1,6,19,4,NA,335
2013,1,6,20,4,NA,392
2013,1,6,21,4,NA,413
2013,1,6,22,4,NA,339
2013,1,6,23,4,NA,285
2013,1,7,0,4,NA,236
2013,1,7,1,4,NA,173
2013,1,7,2,4,NA,159
2013,1,7,3,4,NA,128
2013,1,7,4,4,NA,99
2013,1,7,5,4,NA,89
2013,1,7,6,4,NA,88
2013,1,7,7,4,NA,84
2013,1,7,8,4,NA,71
2013,1,7,9,4,NA,76
2013,1,7,10,4,NA,78
2013,1,7,11,4,NA,89
2013,1,7,12,4,NA,102
2013,1,7,13,4,NA,113
2013,1,7,14,4,NA,134
2013,1,7,15,4,NA,33
2013,1,7,16,4,NA,133
2013,1,7,17,4,NA,150
2013,1,7,18,4,NA,164
2013,1,7,19,4,NA,194
2013,1,7,20,4,NA,233
2013,1,7,21,4,NA,250
2013,1,7,22,4,NA,299
