链接,标题,日期
http://chuansong.me/n/2501037842728,6倍性能，黄仁勋终于带来了全新GeForce\\xa0RTX显卡,2018-08-21
http://chuansong.me/n/2501037942739,资源\\xa0|\\xa0Distill详述「可微图像参数化」：神经网络可视化和风格迁移利器！,2018-08-21
http://chuansong.me/n/2501038042755,教程\\xa0|\\xa0如何保持运动小车上的旗杆屹立不倒？TensorFlow利用A3C算法训练智能体玩CartPole游戏,2018-08-21
http://chuansong.me/n/2501038142751,ECCV\\xa02018\\xa0|\\xa0UBC&amp;腾讯AI\\xa0Lab提出首个模块化GAN架构，搞定任意图像PS组合,2018-08-21
http://chuansong.me/n/2498592342018,鸡生蛋与蛋生鸡，纵览神经架构搜索方法,2018-08-20
http://chuansong.me/n/2498592442020,对话\\xa0|\\xa0一家教育巨头的另类AI解题思路,2018-08-20
http://chuansong.me/n/2498592542027,入门\\xa0|\\xa0关于TensorFlow，你应该了解的9件事,2018-08-20
http://chuansong.me/n/2498592642032,行业内参\\xa0|\\xa05个行业，120条新闻，一文全面了解过去1周大事件,2018-08-20
http://chuansong.me/n/2498592742927,画个草图生成2K高清视频，这份效果惊艳研究值得你跑一跑,2018-08-19
http://chuansong.me/n/2498592842930,资源\\xa0|\\xa0Python技巧\\xa0101：这17个骚操作你都Ok吗,2018-08-19
http://chuansong.me/n/2498592942915,入门\\xa0|\\xa0什么是自注意力机制？,2018-08-19
http://chuansong.me/n/2498593042945,教程\\xa0|\\xa0一招教你使用\\xa0tf.keras\\xa0和\\xa0eager\\xa0execution\\xa0解决复杂问题,2018-08-19
http://chuansong.me/n/2495868242241,华尔街再吸机器学习大牛，Pedro\\xa0Domingos加入对冲基金巨头DE\\xa0Shaw,2018-08-18
http://chuansong.me/n/2495868342236,学界\\xa0|\\xa0利用AI精确重建多模光纤传输图像，该技术或可改变医疗和通信行业,2018-08-18
http://chuansong.me/n/2495868442221,前沿\\xa0|\\xa0XNN：打开了自己黑箱的神经网络,2018-08-18
http://chuansong.me/n/2495868542231,报名\\xa0|\\xa0KDD\\xa02018，第二届腾讯\\xa0TAIC\\xa0与你相约伦敦,2018-08-18
