链接,标题,日期
http://chuansong.me/n/2501191429019,【北京9月】EXCEL数据分析实战培训,2018-08-21
http://chuansong.me/n/2498822529417,8个Python高效数据分析的技巧,2018-08-20
http://chuansong.me/n/2498822629011,四句代码搞定高颜值图表,2018-08-19
http://chuansong.me/n/2496006329717,只需七天入门人工智能，你敢挑战吗？,2018-08-18
http://chuansong.me/n/2496006429715,为什么你的学习效率如此之低呢？,2018-08-18
http://chuansong.me/n/2494247129323,知乎\\xa09.6\\xa0万高赞回答：如何长时间高效学习？,2018-08-17
http://chuansong.me/n/2494247229318,【一文打尽】SQL\\xa0数据分析常用语句,2018-08-17
http://chuansong.me/n/2494247329329,力争打造最好的python圈子，成立7天，已经快500学员,2018-08-17
http://chuansong.me/n/2491691529213,如何快速训练有逻辑的表达？,2018-08-16
http://chuansong.me/n/2491691629218,手把手教你，python如何玩NLP,2018-08-16
http://chuansong.me/n/2489885929220,送给关注我的人，送给5600名信任的圈友,2018-08-15
http://chuansong.me/n/2489886029215,鲜为人知的\\xa0Python\\xa0语法,2018-08-15
http://chuansong.me/n/2489886129223,最新中国城市GDP百强榜出炉！你的家乡排第几？,2018-08-15
http://chuansong.me/n/2487595129725,python实战圈，让学python更加有趣、清晰,2018-08-14
http://chuansong.me/n/2487595229712,如何七天快速了解一个行业,2018-08-14
http://chuansong.me/n/2487595329720,一文教你学会使用GitHub！(附视频),2018-08-14
http://chuansong.me/n/2482617329019,学会用这些“套路”,\\xa0你才算数据分析师,2018-08-13
http://chuansong.me/n/2482617429024,神神神文！！手把手教你使用Excel实现卷积网络,2018-08-13
http://chuansong.me/n/2482617529411,我赌你没见过这个统计图,2018-08-12
http://chuansong.me/n/2482617629431,【下半年北上深开课】Python数据分析与挖掘实战培训报名啦！,2018-08-12
http://chuansong.me/n/2482617729447,诺奖得主Thomas\\xa0J.\\xa0Sargent：人工智能其实就是统计学\\xa0只不过用了一个很华丽的辞藻,2018-08-12
http://chuansong.me/n/2482475929024,Python\\xa0\\xa0实战\\xa0|\\xa0工欲善其事，必先利其器,2018-08-11
http://chuansong.me/n/2480337529027,年薪50万的AI和年薪80万的区块链，哪一个更适合你？,2018-08-10
http://chuansong.me/n/2480337629013,如何快速训练有逻辑的表达？,2018-08-10
http://chuansong.me/n/2480337729031,推荐良心圈，python实战圈，开通4天，已有250+学员加入,2018-08-10
http://chuansong.me/n/2478044829027,从人工智能到自我实现\\xa0\\xa0“马爸爸”5要点揭示数据需求论,2018-08-09
http://chuansong.me/n/2478044929025,为什么那么多人要学习python？这篇文章讲清楚了,2018-08-09
http://chuansong.me/n/2478045029035,让你瞬间变成EXCEL达人，加薪必备，45个Excel小窍门，超实用！,2018-08-09
http://chuansong.me/n/2475344329822,深度解析｜用户增长模型背后，最底层的逻辑框架,2018-08-08
http://chuansong.me/n/2475344429847,【北京9月开课预报名开启】EXCEL数据分析实战培训，两天学会数据分析！小蚊子老师面对面授课！,2018-08-08
http://chuansong.me/n/2475344529827,专攻python的圈子，现在加入一年只要40元，别错过,2018-08-08
http://chuansong.me/n/2473507629127,大数据分析了50万条拼多多商品数据，\\xa0得出了这样的结论,2018-08-07
http://chuansong.me/n/2473507729114,推荐，加入python实战圈,2018-08-07
http://chuansong.me/n/2473507829432,46万条评论数据+人工智能，我们发现了986家网红餐厅的生存之道,2018-08-06
http://chuansong.me/n/2473507929447,【北京9月开课预报名开启】EXCEL数据分析实战培训，两天学会数据分析！小蚊子老师面对面授课！,2018-08-06
http://chuansong.me/n/2473508029415,上线80天纪念，限额1000名,2018-08-06
