,name,city,content,score,date
0,远去,广东广州,很奇怪，中国大陆的名导都是出道即巅峰，然后一路下坡，贾樟柯，张艺谋，陈凯歌，姜文，无一例外。这反映了内地电影圈的两个问题，新人出头难，老人死得慢。,还行,2018-07-13
1,金社长,北京,不要再问我邪不压正好不好看了哥哥姐姐们，反正《一步之遥》看了10分钟就离场的人这次字幕看完都舍不得走。               可药神太猛，我是姜文，我现在慌的一匹,力荐,2018-07-13
2,海子的海,湖南长沙,彭于晏有民国风吗？不好意思我只觉得出戏。大清早亡了，还弄这浮夸的台词，浮夸的表演，姜文一贯自大狂式的卖弄让人作呕。,很差,2018-07-14
3,姬长安,"Edinburgh, United Kingdom",导演粉丝电影和明星粉丝电影有什么区别？大概多了一件李天然的皇帝的艺术新衣罢了&原来站着挣钱的《让子弹飞》只是偶然喽，姜文到现在还没分清楚商业院线和艺术院线么？实现自我表达夹杂你那么多大院子弟高姿态的自以为是的隐喻就滚去艺术院线&世界上最贱的一批人是跪舔姜文的影评人,较差,2018-07-13
4,汪金卫,北京,曾经很欣赏《一步之遥》，当年观感是惊喜的。其尚有迷影之元素，戏中戏之架构，《我这一辈子》之手法，浪漫地肆意妄为。能和《地狱为何恶劣》比一比。而《邪不压正》则让我大失所望，达不到园子温那般癫狂High翻，反倒是抗日神剧、闹剧路线：日本人一定玩阴的，中国少侠躲子弹一打十牛逼。针扎战书手雷互扔，设计低级无聊硬搞笑。以姜文水准不应该如此低智。姜文作品中个人观感最差的一部，不顾逻辑剧情，放飞自我恶趣味。细节粗糙，喜剧脱缰。满口京片子的配角Andy倒是很出彩。许晴负责卖骚，廖凡成丑角，周韵角色设定倒是很讨好。高潮动作戏日本军官简直变成《举起手来》的潘长江，只剩下蠢和弱。还以为要推翻剧情，师傅是李天然所杀，可惜没有。而对影评人冠以“太监、文盲”的直白作践更是小丑般胡闹，恶心莫名。相信彭于晏粉丝才会心满意足吧。,较差,2018-07-11
5,影志,北京,“-不要再哭了，再哭就到了！-我压着速度呢”廖凡部分犀利狠辣如《无耻混蛋》，周韵部分仙逸飘渺如《聂隐娘》，彭于晏屋顶奔跑如《卧虎藏龙》复仇双刃剑如《三块广告牌》，许晴情义妖娆如《老炮儿》里的她和《太阳照常升起》里的陈冲…廖许边电话边啪啪、彭于晏屋顶裸奔、彭叫姜文爸爸…都极其情艳！,推荐,2018-07-07
6,亵渎电影,北京,姜文不止一次说，他的戏都是编剧到了现场还在改剧本，现在严重的问题来了！电影的大框架是纯商业类型片，剪辑方法也是，一开始情节推情节的主线节奏很快，但彭于晏饰演的男一号却没有主观能动性，无法驱动情节，只是一个棋子，也看不出来他内心的恐惧和性格的层次感，而躲子弹、筷子杀鬼子的身手又跟抗日神剧差不多，半小时之后这个剧本就烂成了筛子。节奏亢奋失控本来就是姜文的问题，这次的剧本更是凸显了这个问题，本来很简单的故事，但混乱的节奏却让人有难以消化的感觉，这就是很多人看完不舒服的原因。不要小看类型片，总想着反类型耍小聪明做自己，强类型和夹带私货很容易互相撕扯。,较差,2018-07-13
7,翻滚吧！蛋堡,北京,3.5 大概算是姜文电影中直白又平庸的一部，属于导演个人恶趣味的东西反而成了双刃剑，时而灵光闪现，时而尴尬无趣。屋顶和医院戏观感佳，到后半程高潮节奏又莫名拖沓，没有之前作品那种酣畅淋漓的快感。,还行,2018-07-10
8,纹你,浙江杭州,3.5分 彭于晏很赶客 湾湾口音 持续不断的卖肉 以及被所有演员碾压的演技。姜文这一次发挥失常。一部电影的成功与否 选角也很重要 不对 是非常非常重要。,较差,2018-07-12
9,仰望星空,关注此人,一部民国时期的跑酷，卖点是彭于晏的肌肉，演得特别别扭。姜文真是才华耗尽了。,很差,2018-07-13
10,张三,北京,从周韵出来，影片就属于崩塌状了。李小龙闯入卡萨布兰卡，缺毫无紧张气氛。几处笑点不错，但是远没有达到姜文的水准。史航这个角色毫无存在的意义。 说实话，看的犯困，姜文是真爱自己的媳妇。,较差,2018-07-10
11,Angelapizza,Antigua and Barbuda,崇尚性与暴力，充满直男癌大男子主义气息,很差,2018-07-13
12,津五渡,北京,只看表层是“杀死比尔”一样的复仇故事，姜文多了些深情。内核里还是“北洋三部曲”特有的，关于政治与历史的隐喻，都是“怎么就变成这样了呢？”的思考。密集，讲究的台词依旧是我的大爱，兑上十杯水也能品出酒味。是姜文想象中的民国北京房顶上上演的戏剧，是骨子里的幽默与孤独，是邪不压正。,力荐,2018-07-12
13,frozenmoon,北京,凌乱、浮夸、乱入私货，还觉得自己恣意挥洒；密集、无效、莫民奇妙的话痨台词，让人脑袋疼，总觉得有特殊的幽默感，实际上全程尴尬。姜文一勺烩了自己所有想法，包括恶趣味、偏见和价值观，没有轻重缓急，缺少取舍研判，在混乱之后还有个很鸡汤的治愈心病的结尾？没必要从细部刻意找象征，难看就是难看,较差,2018-07-13
14,康斯坦,广东广州,因为姜文是个任性的孩子，观众们就要陪他一起装傻吗？？？？？什么鬼啊！！,较差,2018-07-12
15,忘,四川成都,我看的是《邪不压正》吗？我以为我看的是《彭于晏找爸爸》,很差,2018-07-13
16,桃桃淘电影,"P&#39;yŏngyang, North Korea",7分吧，整体还是好过《一步之遥》。一部成也姜文、败也姜文的片子。强烈的个人风格，让影片已经跟原著《侠隐》成了两个东西。姜文的电影里，角色总是带着些疯癫，所有人都像嗨过一样，台词密，表演也有意的过。同时，角色又有他眼里的单纯与浪漫，是可爱的一面。节奏依然特别飞，还是非常厉害。而台词密度大到有些不适感，他开心就好吧。 想法太多，使得影片会有些散。另一方面，隐喻仍然很多，坏主意也仍然很多，可以注意廖凡越来越明显的下巴。喜欢姜文风格的人，还是不会太讨厌这部。不过，损影评人那个地方，还是很别扭。,推荐,2018-07-13
17,木卫二,北京,打针又吃药的姜文，迷恋北平屋顶上的冲浪，蹦床和极限运动。人物全程在夺门而入，摔门而出，天上掉钱，墙头落体，不好好说话。开香槟等处是车祸现场无疑，明清民中日美的谁是你爸爸节目，彻底拉低了一众人设下限，俨然错觉是刨冯扒徐的扭曲之物。失败的复仇。,较差,2018-07-13
18,本多,浙江杭州,世界主义。爱国主义。黑色喜剧。国族寓言。伪满政权。老北平。功夫。old school revenge。昆汀塔伦提诺。,力荐,2018-07-11
19,法兰西胶片,北京,6.5。怎么大家都用“还是很姜文”来评价这戏呢，一副有苦难言的样子。愚民这都散了，民族仇恨也拉起来了，日本子见一个秒一个，在《鬼子来了》面前，这很TM不姜文啊。只有国共史的隐喻像点样子，屋顶拍的像个天堂。对了，他十几年前那句“影评人评电影就像太监谈做爱”也拍成了电影，可还一大愿。,还行,2018-07-13
20,张三,北京,从周韵出来，影片就属于崩塌状了。李小龙闯入卡萨布兰卡，缺毫无紧张气氛。几处笑点不错，但是远没有达到姜文的水准。史航这个角色毫无存在的意义。 说实话，看的犯困，姜文是真爱自己的媳妇。,较差,2018-07-10
21,Angelapizza,Antigua and Barbuda,崇尚性与暴力，充满直男癌大男子主义气息,很差,2018-07-13
22,津五渡,北京,只看表层是“杀死比尔”一样的复仇故事，姜文多了些深情。内核里还是“北洋三部曲”特有的，关于政治与历史的隐喻，都是“怎么就变成这样了呢？”的思考。密集，讲究的台词依旧是我的大爱，兑上十杯水也能品出酒味。是姜文想象中的民国北京房顶上上演的戏剧，是骨子里的幽默与孤独，是邪不压正。,力荐,2018-07-12
23,frozenmoon,北京,凌乱、浮夸、乱入私货，还觉得自己恣意挥洒；密集、无效、莫民奇妙的话痨台词，让人脑袋疼，总觉得有特殊的幽默感，实际上全程尴尬。姜文一勺烩了自己所有想法，包括恶趣味、偏见和价值观，没有轻重缓急，缺少取舍研判，在混乱之后还有个很鸡汤的治愈心病的结尾？没必要从细部刻意找象征，难看就是难看,较差,2018-07-13
24,康斯坦,广东广州,因为姜文是个任性的孩子，观众们就要陪他一起装傻吗？？？？？什么鬼啊！！,较差,2018-07-12
25,忘,四川成都,我看的是《邪不压正》吗？我以为我看的是《彭于晏找爸爸》,很差,2018-07-13
26,桃桃淘电影,"P&#39;yŏngyang, North Korea",7分吧，整体还是好过《一步之遥》。一部成也姜文、败也姜文的片子。强烈的个人风格，让影片已经跟原著《侠隐》成了两个东西。姜文的电影里，角色总是带着些疯癫，所有人都像嗨过一样，台词密，表演也有意的过。同时，角色又有他眼里的单纯与浪漫，是可爱的一面。节奏依然特别飞，还是非常厉害。而台词密度大到有些不适感，他开心就好吧。 想法太多，使得影片会有些散。另一方面，隐喻仍然很多，坏主意也仍然很多，可以注意廖凡越来越明显的下巴。喜欢姜文风格的人，还是不会太讨厌这部。不过，损影评人那个地方，还是很别扭。,推荐,2018-07-13
27,木卫二,北京,打针又吃药的姜文，迷恋北平屋顶上的冲浪，蹦床和极限运动。人物全程在夺门而入，摔门而出，天上掉钱，墙头落体，不好好说话。开香槟等处是车祸现场无疑，明清民中日美的谁是你爸爸节目，彻底拉低了一众人设下限，俨然错觉是刨冯扒徐的扭曲之物。失败的复仇。,较差,2018-07-13
28,本多,浙江杭州,世界主义。爱国主义。黑色喜剧。国族寓言。伪满政权。老北平。功夫。old school revenge。昆汀塔伦提诺。,力荐,2018-07-11
29,法兰西胶片,北京,6.5。怎么大家都用“还是很姜文”来评价这戏呢，一副有苦难言的样子。愚民这都散了，民族仇恨也拉起来了，日本子见一个秒一个，在《鬼子来了》面前，这很TM不姜文啊。只有国共史的隐喻像点样子，屋顶拍的像个天堂。对了，他十几年前那句“影评人评电影就像太监谈做爱”也拍成了电影，可还一大愿。,还行,2018-07-13
30,文白,广东广州,十几年前，姜文拍了另一部抗日的电影，叫鬼子来了……,较差,2018-07-13
31,内陆飞鱼,云南昆明,又名《杀死那个太监影评人》，是不是不夸姜文电影的影评人都是太监呢？史航好意思吗，好歹也是前影评人，节操呢。冯小刚曾说自己跟影评人势不两立，姜文心底可能也是这样想的，只是不好直说，借电影隔空表达。 所以，被有幸邀请参加首映礼的盆友们，你们不觉得受辱吗？一点车马费，你们就不是太监了？,还行,2018-07-13
32,宇小敏,北京,保护好姜文啊。全中国就剩这么一个还在用电影讲电影的导演啦。一声枪响，一个枪洞，三点血，一个然字成了，比亲眼看廖凡倒地可是爽多了。,力荐,2018-07-13
33,MadRain,上海,不管是彭于晏的屁股，还是许晴的屁股，都没有成功的把我的屁股留在影院的座位上。,较差,2018-07-13
