28421u2232nfenfcenc,1
4pq1injbok,2
Addbot,2
Addshore,2
Aeusoes1,3
Afterwriting,3
Ahls23,1
Ale jrb,1
Aleksander2017,1
AlleborgoBot,1
Amateur55,3
Amcquade,2
Anaxial,1
Anomie,9
AnomieBOT,3
Anon-fasim-0909,1
AntonBryl,1
Arronsj,1
ArthurBot,2
Atitarev,1
BD2412,1
BIL,2
Battoe19,1
Bender the Bot,1
Bert Macklin,1
Bgwhite,1
Blanchardb,1
BodhisattvaBot,1
Bogdan Nagachop,1
Boötes,2
BranStark,1
Branddobbe,1
Bringback2ndpersonverbs,1
Burzuchius,1
Caniago,1
Cenarium,3
Ceoil,1
Champion,1
Chrisminter,1
ChristopheS,2
Chuisdegueulasse,2
ChuispastonBot,2
Citation bot,1
Ckatz,4
ClueBot,14
Coroboy,4
Ctrlfreak13,1
Ctw3333,1
Cyberbot I,1
Cybercobra,1
D'ohBot,1
D6,1
Dane,1
Darrenaustralia,1
Darth Panda,1
Davey2010,2
DePiep,2
Deacon of Pndapetzim,1
Deflective,2
Delta Tango,1
DixonDBot,1
Dogz279,1
DorganBot,1
Doug Weller,1
Drmccreedy,5
Ekren,2
Electron9,5
EmausBot,2
Erutuon,1
Esanchez7587,2
Etla007,2
F. F. Fjodor,1
Feminist,3
Fieldday-sunday,1
Flewis,1
Fox563,1
Frietjes,1
Furrykef,1
Future Perfect at Sunrise,2
GhalyBot,1
GoingBatty,1
Grant bud,1
Grauchek,1
Grover cleveland,3
Guitar670,1
HTML2011,1
Helpful Pixie Bot,1
Hendrick 99,1
HerculeBot,1
Hoho24,2
Huntster,1
I am my own Master,1
Illexsquid,1
Interchangeable,2
InvertedSaint,1
IvanScrooge98,1
Izno,6
J.delanoy,1
JAnDbot,1
JPaestpreornJeolhlna,1
JaGa,1
JackieBot,1
Jamesmcmahon0,1
Jauhienij,1
JavierMC,1
Joe Schmedley,1
JohnCD,1
Jonverve,1
Jorge Stolfi,1
JorisvS,1
K. Annoyomous,1
Kaldari,9
Ketiltrout,1
Khestwol,1
Kjhf,1
Kmoksy,1
Koavf,1
KolbertBot,1
Kostja,2
Kuyabribri,1
Kwamikagami,21
L-Bit,1
La Pianista,1
LeaveSleaves,2
Liftarn,1
Lighted Match,1
Ling.Nut,2
LittleWink,1
LjL,19
Lnatan25,2
Lonaowna,1
Luckas-bot,1
Lucyin,2
Luk,1
Luna Santin,1
Lunaibis,1
M briglia05,2
MB298,1
MER-C,4
MacedonianBoy,1
Magioladitis,1
Mahmudmasri,1
Maksim-bot,1
Manumg,1
Mark Recio,8
Mark Renier,1
Martarius,1
Maurice Carbonaro,1
Mblumber,1
Mikes1807,1
Mikespedia,1
Minsbot,1
Mirokado,1
Modest Genius,1
Mr. Guye,1
Mx. Granger,4
Naraht,1
Nardog,1
Natg 19,1
Neelix,1
NerdyScienceDude,1
NewEnglandYankee,1
Not Accessible,1
NuclearWarfare,1
OliG312,1
Oliverlyc,1
P. S. F. Freitas,1
Pagen HD,1
Parcly Taxel,2
Pigsonthewing,1
Pokajanje,1
Pppery,2
Princess Lirin,1
ProtectionTaggingBot,1
Ptbotgourou,1
QuartierLatin1968,1
RainbowOfLight,1
Reach Out to the Truth,1
RedHillian,2
Redf0x,1
Reinyday,1
Reisio,3
RenniePet,1
RibotBOT,1
Rich Farmbrough,2
Ripchip Bot,1
Robbot,2
Robertgreer,1
SHYDOG,1
Sarang,1
SassoBot,1
Scientus,3
Scriber~enwiki,3
Sct72,1
Scwlong,1
Shhhnotsoloud,2
Shirulashem,1
SieBot,3
Sionus,2
SkyWalker,4
SmackBot,2
Someguy1221,1
Spacez320,2
Sparafucil,1
SpiralTurtle,5
StaticGull,1
Supercooljs2,3
Swagger28,1
TX55,1
TXiKiBoT,2
Tamfang,1
Tbhotch,1
The Article Creator,1
The Bryce,1
Thelmadatter,1
Theweedrabbit2000,1
Thingg,3
Thomas.W,2
Timshuwy,1
ToThAc,3
TobeBot,1
TomeHale,3
Trappist the monk,1
Trevor MacInnis,1
Ulric1313,1
Unrulyevil,1
Urszag,8
Us441,1
Useight,1
V85,1
Vanisaac,2
Vanished user 9i39j3,1
Vmavanti,1
W. P. Uzer,1
WadeSimMiser,1
Wanderer099,1
Wikid77,3
WikitanvirBot,1
William Avery,1
Wjmummert,1
Work permit,1
Wytukaze,1
Xiaphias,2
Xqbot,2
ZacBowling,1
ZéroBot,2
Αδελφος,1
Учхљёная,1
ערן,1
